,time,temperature,windspeed,pressure,description,cloudiness
0,2023-03-03 21:38:52,5.2,2.06,1033.0,light intensity drizzle,75
1,2023-03-03 22:10:54,4.78,2.06,1033.0,broken clouds,75
2,2023-03-03 22:32:40,4.93,3.6,1033.0,broken clouds,75
3,2023-03-03 23:07:44,4.98,3.6,1033.0,broken clouds,75
4,2023-03-03 23:37:27,5.14,2.68,1033.0,broken clouds,75
5,2023-03-04 00:09:02,4.69,3.09,1033.0,broken clouds,75
6,2023-03-04 00:41:10,4.52,1.54,1033.0,broken clouds,75
7,2023-03-04 01:08:36,5.27,2.57,1033.0,broken clouds,75
8,2023-03-04 01:34:25,5.34,3.09,1032.0,broken clouds,75
9,2023-03-04 02:03:52,5.42,2.68,1033.0,broken clouds,75
10,2023-03-04 02:41:11,5.29,3.09,1032.0,broken clouds,75
11,2023-03-04 03:10:07,5.05,2.06,1032.0,broken clouds,75
12,2023-03-04 03:31:55,4.85,2.06,1032.0,broken clouds,75
13,2023-03-04 04:11:11,4.81,2.57,1032.0,broken clouds,75
14,2023-03-04 04:35:20,4.9,2.24,1032.0,broken clouds,75
15,2023-03-04 05:06:15,4.5,2.57,1032.0,broken clouds,75
16,2023-03-04 05:41:12,4.5,2.57,1032.0,broken clouds,75
17,2023-03-04 06:10:50,4.68,2.06,1032.0,broken clouds,75
18,2023-03-04 06:41:12,4.35,2.57,1033.0,broken clouds,75
19,2023-03-04 07:11:12,4.31,3.09,1033.0,broken clouds,75
20,2023-03-04 07:31:33,4.33,3.09,1033.0,broken clouds,75
21,2023-03-04 08:04:42,4.57,3.09,1032.0,broken clouds,75
22,2023-03-04 08:41:13,4.45,2.57,1033.0,broken clouds,75
23,2023-03-04 09:08:40,4.58,2.57,1032.0,broken clouds,75
24,2023-03-04 09:35:08,4.77,4.12,1033.0,broken clouds,75
25,2023-03-04 10:07:39,4.81,5.14,1033.0,broken clouds,75
26,2023-03-04 10:32:29,4.85,5.14,1033.0,broken clouds,75
27,2023-03-04 11:07:39,4.87,5.14,1033.0,broken clouds,75
28,2023-03-04 11:38:44,4.94,5.66,1033.0,broken clouds,75
29,2023-03-04 12:08:50,5.19,5.36,1033.0,broken clouds,75
30,2023-03-04 12:34:48,5.36,3.6,1032.0,broken clouds,75
31,2023-03-04 13:01:22,5.47,3.6,1032.0,broken clouds,75
32,2023-03-04 13:39:12,5.52,3.09,1032.0,broken clouds,75
33,2023-03-04 14:06:44,5.6,2.68,1031.0,broken clouds,75
34,2023-03-04 14:41:15,5.6,2.57,1030.0,broken clouds,75
35,2023-03-04 15:11:16,5.63,2.57,1031.0,broken clouds,75
36,2023-03-04 15:30:41,5.62,2.57,1031.0,broken clouds,75
37,2023-03-04 16:06:24,5.49,3.09,1031.0,broken clouds,75
38,2023-03-04 16:36:11,5.39,4.12,1030.0,broken clouds,75
39,2023-03-04 17:10:54,4.97,3.6,1030.0,broken clouds,75
40,2023-03-04 17:38:06,4.8,4.12,1030.0,broken clouds,75
41,2023-03-04 18:09:30,4.78,2.57,1030.0,broken clouds,75
42,2023-03-04 18:31:50,4.66,3.09,1030.0,broken clouds,75
43,2023-03-04 19:06:51,4.5,2.06,1030.0,broken clouds,75
44,2023-03-04 19:37:38,4.57,1.54,1030.0,broken clouds,75
45,2023-03-04 20:09:50,4.39,1.54,1030.0,broken clouds,75
46,2023-03-04 20:38:07,4.47,1.34,1029.0,broken clouds,75
47,2023-03-04 21:07:29,4.31,1.54,1029.0,broken clouds,75
48,2023-03-04 21:29:04,4.47,1.54,1029.0,broken clouds,75
49,2023-03-04 22:09:27,4.2,2.06,1029.0,broken clouds,75
50,2023-03-04 22:34:52,4.15,2.57,1029.0,broken clouds,75
51,2023-03-04 23:07:27,4.12,3.6,1028.0,broken clouds,75
52,2023-03-04 23:30:06,4.07,4.12,1028.0,broken clouds,75
53,2023-03-05 00:06:00,3.85,4.12,1028.0,broken clouds,75
54,2023-03-05 00:40:53,3.82,4.12,1027.0,broken clouds,75
55,2023-03-05 01:08:54,3.85,4.12,1026.0,broken clouds,75
56,2023-03-05 01:36:25,3.77,3.6,1027.0,broken clouds,75
57,2023-03-05 02:11:19,3.73,4.12,1027.0,broken clouds,75
58,2023-03-05 02:39:04,3.66,4.12,1026.0,broken clouds,75
59,2023-03-05 03:02:52,3.66,4.63,1026.0,broken clouds,75
60,2023-03-05 03:35:36,3.65,5.14,1025.0,broken clouds,75
61,2023-03-05 04:08:08,3.58,4.12,1025.0,broken clouds,75
62,2023-03-05 04:37:10,3.53,4.02,1024.0,broken clouds,75
63,2023-03-05 05:07:55,3.58,3.6,1024.0,broken clouds,75
64,2023-03-05 05:41:16,3.58,3.6,1024.0,broken clouds,75
65,2023-03-05 06:05:11,3.28,3.09,1024.0,broken clouds,75
66,2023-03-05 06:41:21,3.44,4.63,1023.0,broken clouds,75
67,2023-03-05 07:10:50,3.62,4.63,1023.0,broken clouds,75
68,2023-03-05 07:37:20,3.62,4.12,1023.0,broken clouds,75
69,2023-03-05 08:04:18,3.67,3.13,1023.0,broken clouds,75
70,2023-03-05 08:32:23,3.91,4.12,1022.0,broken clouds,75
71,2023-03-05 09:06:55,4.14,5.14,1022.0,broken clouds,75
72,2023-03-05 09:39:22,4.37,5.14,1022.0,broken clouds,75
73,2023-03-05 10:03:32,5.18,5.14,1022.0,broken clouds,75
74,2023-03-05 10:32:27,5.44,4.63,1021.0,broken clouds,75
75,2023-03-05 11:04:58,6.13,5.14,1021.0,broken clouds,75
76,2023-03-05 11:39:30,6.64,4.92,1021.0,broken clouds,75
77,2023-03-05 12:10:51,7.18,4.63,1021.0,broken clouds,75
78,2023-03-05 12:41:23,7.34,5.14,1020.0,light intensity drizzle,75
79,2023-03-05 13:03:03,7.33,5.14,1020.0,broken clouds,75
80,2023-03-05 13:40:34,7.77,4.63,1019.0,broken clouds,75
81,2023-03-05 14:11:24,7.74,5.14,1018.0,scattered clouds,40
82,2023-03-05 14:35:25,8.25,4.63,1018.0,scattered clouds,40
83,2023-03-05 15:11:24,9.03,5.14,1017.0,scattered clouds,40
84,2023-03-05 15:31:40,9.42,5.66,1017.0,scattered clouds,40
85,2023-03-05 16:02:14,9.25,5.66,1017.0,scattered clouds,40
86,2023-03-05 16:32:47,9.28,5.14,1016.0,scattered clouds,40
87,2023-03-05 17:08:02,8.99,4.63,1015.0,broken clouds,75
88,2023-03-05 17:41:25,8.74,5.66,1015.0,broken clouds,75
89,2023-03-05 18:00:12,8.58,6.17,1015.0,scattered clouds,40
90,2023-03-05 18:40:51,7.45,5.14,1015.0,scattered clouds,40
91,2023-03-05 19:01:45,7.14,3.09,1015.0,broken clouds,75
92,2023-03-05 19:32:02,6.99,5.66,1014.0,broken clouds,75
93,2023-03-05 19:59:55,7.23,4.63,1014.0,broken clouds,75
94,2023-03-05 20:41:26,6.61,5.14,1014.0,broken clouds,75
95,2023-03-05 21:08:14,6.73,4.63,1013.0,broken clouds,75
96,2023-03-05 21:41:27,6.31,5.14,1013.0,broken clouds,75
97,2023-03-05 22:04:33,6.27,4.12,1013.0,broken clouds,75
98,2023-03-05 22:32:47,6.19,5.66,1013.0,broken clouds,75
99,2023-03-05 23:03:54,6.21,6.71,1012.0,broken clouds,75
100,2023-03-05 23:32:41,5.54,5.66,1012.0,broken clouds,75
101,2023-03-06 00:04:11,5.89,6.17,1012.0,broken clouds,75
102,2023-03-06 00:35:51,5.86,5.81,1012.0,broken clouds,75
103,2023-03-06 01:11:28,5.8,5.14,1011.0,broken clouds,75
104,2023-03-06 01:33:47,5.85,5.14,1011.0,broken clouds,75
105,2023-03-06 02:05:29,5.77,5.66,1011.0,broken clouds,75
106,2023-03-06 02:37:35,5.87,5.14,1010.0,broken clouds,75
107,2023-03-06 03:11:28,5.89,5.66,1010.0,light intensity drizzle,75
108,2023-03-06 03:35:20,5.75,5.14,1010.0,light intensity drizzle,75
109,2023-03-06 04:10:50,5.6,4.63,1009.0,light intensity drizzle,75
110,2023-03-06 04:35:11,5.6,4.63,1009.0,light intensity drizzle,75
111,2023-03-06 05:04:28,5.61,6.17,1009.0,broken clouds,75
112,2023-03-06 05:34:18,5.22,5.66,1008.0,broken clouds,75
113,2023-03-06 06:11:30,5.09,4.63,1008.0,broken clouds,75
114,2023-03-06 06:36:34,5.08,4.63,1008.0,broken clouds,75
115,2023-03-06 07:07:06,4.89,5.14,1008.0,broken clouds,75
116,2023-03-06 07:32:03,4.94,4.12,1007.0,broken clouds,75
117,2023-03-06 08:05:17,5.04,6.17,1007.0,broken clouds,75
118,2023-03-06 08:36:45,5.1,5.66,1007.0,scattered clouds,40
119,2023-03-06 09:07:09,5.46,5.66,1007.0,broken clouds,75
120,2023-03-06 09:39:15,5.9,5.14,1007.0,broken clouds,75
121,2023-03-06 10:08:52,6.2,5.14,1007.0,broken clouds,75
122,2023-03-06 10:31:34,6.54,5.66,1006.0,light rain,75
123,2023-03-06 11:05:10,6.46,5.66,1006.0,light rain,75
124,2023-03-06 11:33:22,6.52,6.17,1006.0,broken clouds,75
125,2023-03-06 12:09:59,6.84,5.14,1006.0,broken clouds,75
126,2023-03-06 12:36:50,7.35,5.14,1006.0,broken clouds,75
127,2023-03-06 13:08:31,7.56,4.12,1006.0,broken clouds,75
128,2023-03-06 13:33:58,6.79,5.14,1005.0,broken clouds,75
129,2023-03-06 14:11:33,5.79,4.63,1005.0,light rain,75
130,2023-03-06 14:34:54,5.64,5.66,1005.0,light rain,75
131,2023-03-06 15:08:36,5.25,3.09,1004.0,light rain,75
132,2023-03-06 15:37:29,5.73,4.63,1004.0,light rain,75
133,2023-03-06 16:03:49,5.39,3.6,1004.0,light rain,75
134,2023-03-06 16:34:02,5.39,3.09,1004.0,light rain,75
135,2023-03-06 17:11:00,5.4,2.57,1003.0,moderate rain,75
136,2023-03-06 17:31:47,5.2,2.06,1003.0,light rain,75
137,2023-03-06 18:00:24,4.82,3.09,1003.0,light rain,75
138,2023-03-06 18:38:26,4.6,4.12,1003.0,light rain,75
139,2023-03-06 19:06:24,4.24,3.6,1004.0,light rain,75
140,2023-03-06 19:41:35,3.81,3.6,1003.0,light rain,75
141,2023-03-06 20:01:44,3.69,4.63,1004.0,broken clouds,75
142,2023-03-06 20:39:47,3.3,5.14,1004.0,light rain,75
143,2023-03-06 21:02:43,3.28,5.14,1003.0,broken clouds,75
144,2023-03-06 21:41:35,3.41,2.57,1003.0,light intensity drizzle,75
145,2023-03-06 22:08:58,3.4,4.12,1003.0,light rain,75
146,2023-03-06 22:35:10,3.25,4.12,1002.0,light rain,75
147,2023-03-06 23:11:36,2.75,4.12,1002.0,light rain,75
148,2023-03-06 23:32:29,2.81,3.6,1003.0,light rain,75
149,2023-03-07 00:11:36,2.71,3.58,1003.0,light rain,75
150,2023-03-07 00:35:02,2.77,3.09,1003.0,light rain,75
151,2023-03-07 01:06:40,2.39,3.09,1002.0,broken clouds,75
152,2023-03-07 01:38:44,2.36,4.12,1003.0,light rain,75
153,2023-03-07 02:06:19,2.18,4.12,1003.0,broken clouds,75
154,2023-03-07 02:41:37,1.94,4.92,1001.0,broken clouds,75
155,2023-03-07 03:10:50,1.81,4.92,1001.0,overcast clouds,100
156,2023-03-07 03:34:10,1.31,4.63,1001.0,broken clouds,75
157,2023-03-07 04:11:38,0.95,4.63,1001.0,broken clouds,75
158,2023-03-07 04:35:03,0.82,2.57,1002.0,clear sky,0
159,2023-03-07 05:11:38,0.52,3.6,1002.0,broken clouds,75
160,2023-03-07 05:29:08,0.33,2.24,1002.0,broken clouds,75
161,2023-03-07 06:02:41,-0.16,4.12,1002.0,broken clouds,75
162,2023-03-07 06:31:04,-0.68,3.09,1002.0,broken clouds,75
163,2023-03-07 07:04:02,-0.68,4.63,1001.0,broken clouds,75
164,2023-03-07 07:33:52,-0.49,3.6,1002.0,broken clouds,75
165,2023-03-07 08:08:46,-0.43,4.12,1003.0,broken clouds,75
